School Year,ULCS Code,School Name,School Level,Average Daily Attendance
2013-2014,1010,John Bartram High School,High,82.59999999999999
2013-2014,1020,West Philadelphia High School,High,83.8
2013-2014,1030,High School of the Future,High,91.8
2013-2014,1050,Paul Robeson High School for Human Services,High,91.7
2013-2014,1100,William L. Sayre High School,High,83.7
2013-2014,1130,William T. Tilden School,Middle,85.40000000000001
2013-2014,1190,Motivation High School,High,94.5
2013-2014,1200,John Barry School,Elementary-Middle,92.3
2013-2014,1230,William C. Bryant School,Elementary-Middle,90.7
2013-2014,1250,Joseph W. Catharine School,Elementary,93.9
2013-2014,1260,Benjamin B. Comegys School,Elementary-Middle,91.8
2013-2014,1280,Sadie Alexander School,Elementary-Middle,97.7
2013-2014,1290,Andrew Hamilton School,Elementary-Middle,94.09999999999999
2013-2014,1300,Avery D. Harrington School,Elementary-Middle,94.59999999999999
2013-2014,1330,Samuel B. Huey School,Elementary-Middle,90.90000000000001
2013-2014,1340,Henry C. Lea School,Elementary-Middle,93.2
2013-2014,1350,William C. Longstreth School,Elementary-Middle,92.59999999999999
2013-2014,1360,Morton McMichael School,Elementary-Middle,92.0
2013-2014,1370,S. Weir Mitchell School,Elementary,91.5
2013-2014,1380,Thomas G. Morton School,Elementary,92.9
2013-2014,1390,Samuel Powel School,Elementary,95.59999999999999
2013-2014,1400,John M. Patterson School,Elementary,94.5
2013-2014,1410,James Rhoads School,Elementary-Middle,89.8
2013-2014,1420,Martha Washington School,Elementary-Middle,93.09999999999999
2013-2014,1440,Penrose School,Elementary-Middle,94.09999999999999
2013-2014,1460,Add B. Anderson School,Elementary-Middle,93.0
2013-2014,1470,Alain Locke School,Elementary-Middle,91.09999999999999
2013-2014,1490,Rudolph Blankenburg School,Elementary-Middle,91.09999999999999
2013-2014,1580,Middle Years Alternative School,Middle,92.8
2013-2014,2000,South Philadelphia High School,High,83.09999999999999
2013-2014,2010,Benjamin Franklin High School,High,78.3
2013-2014,2020,High School for Creative and Performing Arts School,High,94.8
2013-2014,2140,Julia R. Masterman School,Middle-High,98.3
2013-2014,2160,Furness High School,High,88.09999999999999
2013-2014,2190,D. Newlin Fell School,Elementary-Middle,94.2
2013-2014,2210,Bache-Martin School,Elementary-Middle,94.8
2013-2014,2240,F. Amedee Bregy School,Elementary-Middle,93.5
2013-2014,2260,George W. Childs School,Elementary-Middle,93.4
2013-2014,2290,Franklin Learning Center,High,92.59999999999999
2013-2014,2320,Stephen Girard School,Elementary,93.4
2013-2014,2340,General George A. McCall School,Elementary-Middle,97.3
2013-2014,2370,Delaplaine McDaniel School,Elementary-Middle,92.0
2013-2014,2380,William M. Meredith School,Elementary-Middle,97.0
2013-2014,2390,Robert Morris School,Elementary-Middle,91.7
2013-2014,2410,Girard Academic Music Program,Middle-High,96.40000000000001
2013-2014,2450,Edwin M. Stanton School,Elementary-Middle,94.4
2013-2014,2470,Albert M. Greenfield School,Elementary-Middle,96.09999999999999
2013-2014,2480,Chester A. Arthur School,Elementary-Middle,94.59999999999999
2013-2014,2490,Laura W. Waring School,Elementary-Middle,94.8
2013-2014,2510,Andrew Jackson School,Elementary-Middle,95.59999999999999
2013-2014,2520,Abram S. Jenks School,Elementary,95.59999999999999
2013-2014,2540,Francis S. Key School,Elementary,95.4
2013-2014,2580,Eliza B. Kirkbride School,Elementary-Middle,97.3
2013-2014,2590,George W. Nebinger School,Elementary-Middle,94.8
2013-2014,2620,Academy at Palumbo,High,96.40000000000001
2013-2014,2630,George W. Sharswood School,Elementary-Middle,94.59999999999999
2013-2014,2640,Southwark School,Elementary-Middle,95.7
2013-2014,2650,Science Leadership Academy,High,95.59999999999999
2013-2014,2670,Constitution High School,High,94.2
2013-2014,2690,John H. Taggart School,Elementary-Middle,94.0
2013-2014,2720,Vare-Washington School,Elementary-Middle,94.59999999999999
2013-2014,4020,Overbrook High School,High,79.8
2013-2014,4030,High School of Engineering and Science,High,96.7
2013-2014,4060,Murrell Dobbins Career and Technical High School,High,90.09999999999999
2013-2014,4100,Dimner Beeber School,Middle,90.4
2013-2014,4140,Strawberry Mansion High School,High,73
2013-2014,4220,James G. Blaine School,Elementary-Middle,92.9
2013-2014,4240,Lewis C. Cassidy Academics Plus School,Elementary,93.2
2013-2014,4270,William Dick School,Elementary-Middle,92.5
2013-2014,4280,Samuel Gompers School,Elementary,93.9
2013-2014,4300,Edward Heston School,Elementary-Middle,91.59999999999999
2013-2014,4320,Robert E. Lamberton School,Elementary-Middle,95.5
2013-2014,4350,E. Washington Rhodes School,Elementary-Middle,87.8
2013-2014,4370,Overbrook School,Elementary,94.0
2013-2014,4380,Thomas M. Peirce School,Elementary,93.7
2013-2014,4440,Dr. Ethel Allen School,Elementary-Middle,92.9
2013-2014,4460,Tanner G. Duckrey School,Elementary-Middle,91.4
2013-2014,4470,Richard R. Wright School,Elementary,90.8
2013-2014,4480,Overbrook Educational Center,Elementary-Middle,96.0
2013-2014,4530,Edward Gideon School,Elementary-Middle,93.2
2013-2014,4560,William D. Kelley School,Elementary-Middle,90.7
2013-2014,4570,General George G. Meade School,Elementary-Middle,90.2
2013-2014,5020,Thomas A. Edison High School,High,76.8
2013-2014,5050,Philadelphia Military Academy,High,95.59999999999999
2013-2014,5060,Jules E. Mastbaum Area Vocational Technical High School,High,90.2
2013-2014,5070,Parkway Northwest High School,High,92.8
2013-2014,5080,Parkway Center City High School,High,94.5
2013-2014,5090,Parkway West High School,High,92.8
2013-2014,5150,William W. Bodine High School,High,95.5
2013-2014,5160,Penn Treaty High School,Middle-High,81.5
2013-2014,5170,Julia de Burgos School,Elementary-Middle,93.5
2013-2014,5200,Alexander Adaire School,Elementary-Middle,93.4
2013-2014,5210,Henry A. Brown School,Elementary-Middle,93.5
2013-2014,5230,Russell H. Conwell School,Middle,94.5
2013-2014,5250,Paul L. Dunbar School,Elementary-Middle,92.5
2013-2014,5260,Lewis Elkin School,Elementary,92.0
2013-2014,5300,Horatio B. Hackett School,Elementary,93.7
2013-2014,5320,John F. Hartranft School,Elementary-Middle,92.09999999999999
2013-2014,5330,William H. Hunter School,Elementary-Middle,94.5
2013-2014,5340,James R. Ludlow School,Elementary-Middle,93.7
2013-2014,5350,William McKinley School,Elementary-Middle,93.7
2013-2014,5370,John Moffet School,Elementary,94.3
2013-2014,5390,Potter-Thomas School,Elementary-Middle,92.59999999999999
2013-2014,5400,Richmond School,Elementary,93.9
2013-2014,5410,Isaac A. Sheppard School,Elementary,92.4
2013-2014,5420,John Welsh School,Elementary-Middle,93.9
2013-2014,5430,Alternative Middle Years at James Martin,Middle,94.0
2013-2014,5440,Frances E. Willard School,Elementary,92.5
2013-2014,5470,William Cramp School,Elementary,92.8
2013-2014,5480,General Philip Kearny School,Elementary-Middle,94.3
2013-2014,5490,Cayuga School,Elementary,92.9
2013-2014,5500,Thurgood Marshall School,Elementary-Middle,93.59999999999999
2013-2014,5510,"Kensington International Business, Finance, and Entrepreneurship High School",High,79.40000000000001
2013-2014,5520,Kensington High School for Creative and Performing Arts,High,86.59999999999999
2013-2014,5530,Philip H. Sheridan School,Elementary,92.4
2013-2014,5550,Kensington Health Sciences Academy,High,81
2013-2014,5560,Spring Garden School,Elementary-Middle,93.9
2013-2014,5590,John H. Webster School,Elementary,92.9
2013-2014,5600,Kensington Urban Education Academy,High,81.8
2013-2014,5680,Honorable Luis Munoz-Marin School,Elementary-Middle,92.59999999999999
2013-2014,6010,Central High School,High,96.5
2013-2014,6030,Roxborough High School,High,89.8
2013-2014,6040,Walter B. Saul High School,High,93.09999999999999
2013-2014,6050,Philadelphia High School for Girls,High,94.59999999999999
2013-2014,6060,Martin Luther King High School,High,81.7
2013-2014,6090,A. Philip Randolph Career and Technical High School,High,88.59999999999999
2013-2014,6100,Morris E. Leeds School,Middle,89.9
2013-2014,6200,Anna B. Day School,Elementary-Middle,95.4
2013-2014,6210,Franklin S. Edmonds School,Elementary,95.8
2013-2014,6220,Eleanor C. Emlen School,Elementary,93.8
2013-2014,6230,Fitler Academics Plus School,Elementary-Middle,95.4
2013-2014,6250,Charles W. Henry School,Elementary-Middle,94.8
2013-2014,6260,Henry H. Houston School,Elementary-Middle,94.3
2013-2014,6270,John S. Jenks School,Elementary-Middle,95.8
2013-2014,6300,James Logan School,Elementary,94.2
2013-2014,6310,John F. McCloskey School,Elementary-Middle,95.7
2013-2014,6320,Thomas Mifflin School,Elementary-Middle,94.59999999999999
2013-2014,6340,Joseph Pennell School,Elementary,92.59999999999999
2013-2014,6350,Samuel Pennypacker School,Elementary,93.5
2013-2014,6360,Theodore Roosevelt School,Elementary-Middle,84.5
2013-2014,6380,Shawmont School,Elementary-Middle,96.2
2013-2014,6390,Edward T. Steel School,Elementary-Middle,93.59999999999999
2013-2014,6410,Cook-Wissahickon School,Elementary-Middle,95.09999999999999
2013-2014,6430,John Wister School,Elementary,92.3
2013-2014,6440,Anna L. Lingelbach School,Elementary-Middle,95.59999999999999
2013-2014,6450,James Dobson School,Elementary-Middle,94.2
2013-2014,6460,Hill-Freedman School,Middle,95.9
2013-2014,6470,John B. Kelly School,Elementary,93.4
2013-2014,6480,Academy for the Middle Years at Northwest,Middle,96.7
2013-2014,6540,Lankenau High School,High,93.59999999999999
2013-2014,7010,Frankford High School,High,80.40000000000001
2013-2014,7100,Jay Cooke School,Elementary-Middle,94.0
2013-2014,7110,Warren G. Harding School,Middle,89.8
2013-2014,7120,Samuel Fels High School,High,86.7
2013-2014,7130,General Louis Wagner School,Middle,90.09999999999999
2013-2014,7150,Juniata Park Academy,Elementary-Middle,95.09999999999999
2013-2014,7200,Clara Barton School,Elementary,93.9
2013-2014,7220,Laura H. Carnell School,Elementary,93.7
2013-2014,7260,Ellwood School,Elementary,94.0
2013-2014,7270,Thomas K. Finletter School,Elementary-Middle,94.9
2013-2014,7280,Benjamin Franklin School,Elementary-Middle,95.0
2013-2014,7290,Allen M. Stearne School,Elementary-Middle,93.4
2013-2014,7300,Francis Hopkinson School,Elementary-Middle,93.5
2013-2014,7310,Feltonville Intermediate School,Elementary,94.7
2013-2014,7320,Julia W. Howe School,Elementary,92.3
2013-2014,7330,Henry W. Lawton School,Elementary,92.59999999999999
2013-2014,7350,James R. Lowell School,Elementary,94.9
2013-2014,7360,John Marshall School,Elementary,92.3
2013-2014,7370,"Grover Washington, Jr. School",Middle,94.9
2013-2014,7380,Alexander K. McClure School,Elementary,94.09999999999999
2013-2014,7390,Andrew J. Morrison School,Elementary-Middle,93.5
2013-2014,7400,Olney School,Elementary-Middle,93.7
2013-2014,7430,James J. Sullivan School,Elementary,92.59999999999999
2013-2014,7440,Bayard Taylor School,Elementary,93.5
2013-2014,7460,William H. Ziegler School,Elementary-Middle,94.59999999999999
2013-2014,7470,Bridesburg School,Elementary,93.9
2013-2014,7490,Prince Hall School,Elementary,94.5
2013-2014,7500,Feltonville School of Arts and Sciences,Middle,92.3
2013-2014,7510,Mary M. Bethune School,Elementary-Middle,91.7
